frame.protocols,_ws.col.protocol,ip.len,frame.len,tcp.flags,udp.length
"eth:ethertype:ip:igmp:igmp","IGMPv2","32","46",,
"eth:ethertype:ip:igmp:igmp","IGMPv2","32","46",,
"eth:ethertype:ip:igmp:igmp","IGMPv2","32","46",,
"eth:ethertype:ip:igmp:igmp","IGMPv2","32","46",,
"eth:ethertype:ip:tcp","SSL","41","55","0x0010",
"eth:ethertype:ip:tcp","TCP","52","66","0x0010",
"eth:ethertype:ip:udp:mdns","MDNS","89","103",,"69"
"eth:ethertype:ipv6:udp:mdns","MDNS",,"123",,"69"
"eth:ethertype:ipv6:icmpv6","ICMPv6",,"142",,
"eth:ethertype:ip:tcp:tls","TLSv1.2","280","294","0x0018",
"eth:ethertype:ip:tcp:tls","TLSv1.2","302","316","0x0018",
"eth:ethertype:ip:tcp","TCP","40","54","0x0010",
"eth:ethertype:ipv6:udp:data","UDP",,"91",,"37"
"eth:ethertype:ipv6:udp:data","UDP",,"118",,"64"
"eth:ethertype:ipv6:udp:data","UDP",,"96",,"42"
"eth:ethertype:ipv6:udp:data","UDP",,"140",,"86"
"eth:ethertype:ipv6:udp:data","UDP",,"95",,"41"
"eth:ethertype:ipv6:udp:data","UDP",,"87",,"33"
"eth:ethertype:ipv6:udp:data","UDP",,"327",,"273"
"eth:ethertype:ipv6:udp:data","UDP",,"91",,"37"
"eth:ethertype:ipv6:udp:data","UDP",,"95",,"41"
"eth:ethertype:ipv6:udp:data","UDP",,"164",,"110"
"eth:ethertype:ipv6:udp:data","UDP",,"99",,"45"
"eth:ethertype:ipv6:udp:data","UDP",,"87",,"33"
"eth:ethertype:arp","ARP",,"42",,
"eth:ethertype:arp","ARP",,"42",,
"eth:ethertype:ip:tcp","SSL","41","55","0x0010",
"eth:ethertype:ipv6:icmpv6","ICMPv6",,"142",,
"eth:ethertype:ip:tcp","TCP","52","66","0x0010",
"eth:ethertype:ip:udp:mdns","MDNS","89","103",,"69"
"eth:ethertype:ipv6:udp:mdns","MDNS",,"123",,"69"
"eth:ethertype:ip:tcp:tls","TLSv1.2","281","295","0x0018",
"eth:ethertype:ip:tcp:tls","TLSv1.2","303","317","0x0018",
"eth:ethertype:ip:tcp","TCP","40","54","0x0010",
"eth:ethertype:ipv6:udp:data","UDP",,"91",,"37"
"eth:ethertype:ipv6:udp:data","UDP",,"87",,"33"
"eth:ethertype:ipv6:icmpv6","ICMPv6",,"86",,
"eth:ethertype:ipv6:icmpv6","ICMPv6",,"78",,
"eth:ethertype:ipv6:icmpv6","ICMPv6",,"86",,
"eth:ethertype:ipv6:icmpv6","ICMPv6",,"86",,
"eth:ethertype:ipv6:icmpv6","ICMPv6",,"86",,
"eth:ethertype:ipv6:icmpv6","ICMPv6",,"86",,
"eth:ethertype:ipv6:icmpv6","ICMPv6",,"142",,
"eth:ethertype:ip:udp:echo","ECHO","29","43",,"9"
"eth:ethertype:arp","ARP",,"42",,
"eth:ethertype:arp","ARP",,"42",,
"eth:ethertype:arp","ARP",,"42",,
"eth:ethertype:arp","ARP",,"42",,
"eth:ethertype:ip:udp:mdns","MDNS","220","234",,"200"
"eth:ethertype:ipv6:udp:mdns","MDNS",,"254",,"200"
