src_ip,dst_ip,src_port,dst_port,protocol,duration,protocoltype,service,flag,srcbytes,dstbytes,wrongfragment,hot,loggedin,numcompromised,rootshell,suattempted,numroot,numfilecreations,numshells,numaccessfiles,ishostlogin,isguestlogin,count,srvcount,serrorrate,srvserrorrate,rerrorrate,srvrerrorrate,samediprate,diffsrvrate,dsthostcount,dsthostsrvcount,dsthostsamedsrvrate,dsthostdiffsrvrate,dsthostserrorrate,dsthostsrvserrorrate,dsthostrerrorrate,dsthostsrvrerrorrate,lastflag,prediction
 2025 16:57:43.550214000 India Standard Time,34.237.73.95,TLSv1.2,443,192.168.29.112,0.0,2,2,26,61296,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,ANOMALY
 2025 16:57:43.550472000 India Standard Time,192.168.29.112,TLSv1.2,61296,34.237.73.95,0.0,9,9,27,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,ANOMALY
 2025 16:57:43.843432000 India Standard Time,34.237.73.95,TCP,443,192.168.29.112,0.0,2,2,20,61296,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,ANOMALY
 2025 16:57:44.917379000 India Standard Time,,ARP,0,,0.0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,ANOMALY
 2025 16:57:45.286031000 India Standard Time,,UDP,0,,0.0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,ANOMALY
 2025 16:57:45.308272000 India Standard Time,,UDP,0,,0.0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,ANOMALY
 2025 16:57:46.965221000 India Standard Time,,ARP,0,,0.0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,ANOMALY
 2025 16:57:47.989600000 India Standard Time,,ICMPv6,0,,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,ANOMALY
 2025 16:57:49.013403000 India Standard Time,,ARP,0,,0.0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,ANOMALY
 2025 16:57:50.037114000 India Standard Time,,ARP,0,,0.0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,ANOMALY
