timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,flag
Mar 23\, 2025 16:57:43.550214000 India Standard Time,34.237.73.95,192.168.29.112,TLSv1.2,443,61296,78
Mar 23\, 2025 16:57:43.550472000 India Standard Time,192.168.29.112,34.237.73.95,TLSv1.2,61296,443,82
Mar 23\, 2025 16:57:43.843432000 India Standard Time,34.237.73.95,192.168.29.112,TCP,443,61296,54
Mar 23\, 2025 16:57:44.917379000 India Standard Time,,,ARP,0,0,42
Mar 23\, 2025 16:57:45.286031000 India Standard Time,,,UDP,0,0,91
Mar 23\, 2025 16:57:45.308272000 India Standard Time,,,UDP,0,0,88
Mar 23\, 2025 16:57:46.965221000 India Standard Time,,,ARP,0,0,42
Mar 23\, 2025 16:57:47.989600000 India Standard Time,,,ICMPv6,0,0,142
Mar 23\, 2025 16:57:49.013403000 India Standard Time,,,ARP,0,0,42
Mar 23\, 2025 16:57:50.037114000 India Standard Time,,,ARP,0,0,42
Mar 23\, 2025 16:57:50.318348000 India Standard Time,,,ICMPv6,0,0,86
Mar 23\, 2025 16:57:50.318484000 India Standard Time,,,ICMPv6,0,0,86
Mar 23\, 2025 16:57:51.061373000 India Standard Time,,,ARP,0,0,42
Mar 23\, 2025 16:57:51.619764000 India Standard Time,192.168.29.112,34.237.73.95,TLSv1.2,61296,443,294
Mar 23\, 2025 16:57:51.676298000 India Standard Time,192.168.29.189,224.0.0.251,MDNS,0,0,103
Mar 23\, 2025 16:57:51.676298000 India Standard Time,,,MDNS,0,0,123
Mar 23\, 2025 16:57:51.860292000 India Standard Time,34.237.73.95,192.168.29.112,TCP,443,61296,54
Mar 23\, 2025 16:57:51.860292000 India Standard Time,34.237.73.95,192.168.29.112,TLSv1.2,443,61296,317
Mar 23\, 2025 16:57:51.900806000 India Standard Time,192.168.29.112,34.237.73.95,TCP,61296,443,54
Mar 23\, 2025 16:57:55.157368000 India Standard Time,,,ARP,0,0,42
Mar 23\, 2025 16:57:56.181356000 India Standard Time,,,ARP,0,0,42
Mar 23\, 2025 16:57:58.983232000 India Standard Time,192.168.29.112,104.18.26.90,SSL,62694,443,55
Mar 23\, 2025 16:57:59.002119000 India Standard Time,104.18.26.90,192.168.29.112,TCP,443,62694,66
Mar 23\, 2025 16:58:00.298039000 India Standard Time,,,UDP,0,0,98
Mar 23\, 2025 16:58:00.298039000 India Standard Time,,,UDP,0,0,96
Mar 23\, 2025 16:58:00.298039000 India Standard Time,,,UDP,0,0,242
Mar 23\, 2025 16:58:00.303259000 India Standard Time,,,UDP,0,0,95
Mar 23\, 2025 16:58:00.304966000 India Standard Time,,,DNS,0,0,104
Mar 23\, 2025 16:58:00.320439000 India Standard Time,,,DNS,0,0,120
Mar 23\, 2025 16:58:00.323408000 India Standard Time,,,UDP,0,0,328
Mar 23\, 2025 16:58:00.346766000 India Standard Time,,,UDP,0,0,91
Mar 23\, 2025 16:58:00.351593000 India Standard Time,,,UDP,0,0,95
Mar 23\, 2025 16:58:00.603127000 India Standard Time,,,UDP,0,0,165
Mar 23\, 2025 16:58:00.609038000 India Standard Time,,,UDP,0,0,99
Mar 23\, 2025 16:58:00.631895000 India Standard Time,,,UDP,0,0,87
Mar 23\, 2025 16:58:04.829392000 India Standard Time,,,ICMPv6,0,0,86
Mar 23\, 2025 16:58:04.829542000 India Standard Time,,,ICMPv6,0,0,86
Mar 23\, 2025 16:58:04.834748000 India Standard Time,,,ICMPv6,0,0,78
Mar 23\, 2025 16:58:04.834748000 India Standard Time,,,ICMPv6,0,0,78
Mar 23\, 2025 16:58:07.313806000 India Standard Time,192.168.29.112,54.69.136.171,SSL,62714,443,55
Mar 23\, 2025 16:58:07.597883000 India Standard Time,54.69.136.171,192.168.29.112,TCP,443,62714,54
Mar 23\, 2025 16:58:07.613249000 India Standard Time,192.168.29.112,34.237.73.95,TLSv1.2,61296,443,294
Mar 23\, 2025 16:58:07.856048000 India Standard Time,34.237.73.95,192.168.29.112,TLSv1.2,443,61296,319
Mar 23\, 2025 16:58:07.897011000 India Standard Time,192.168.29.112,34.237.73.95,TCP,61296,443,54
Mar 23\, 2025 16:58:08.674499000 India Standard Time,,,ICMPv6,0,0,142
Mar 23\, 2025 16:58:09.838345000 India Standard Time,,,ICMPv6,0,0,86
Mar 23\, 2025 16:58:09.839089000 India Standard Time,,,ICMPv6,0,0,86
Mar 23\, 2025 16:58:09.979703000 India Standard Time,,,SSL,62370,443,75
Mar 23\, 2025 16:58:09.998978000 India Standard Time,,,TCP,443,62370,86
Mar 23\, 2025 16:58:11.541352000 India Standard Time,192.168.29.1,224.0.0.1,IGMPv2,0,0,46
